battery_percentage,battery_age_years,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,top_speed_kmph,total_power_kw,total_torque_nm,battery_capacity_kwh,battery_per_kWh,battery_remaining_kWh,electric_range_km
76.92,4.86,cold,-2.78,65.38,0.96,yes,Eco,RWD,239.42,103.05,370.23,69.17,1.11,53.21,372.53
28.56,1.45,mild,-4.53,106.6,0.49,no,Eco,RWD,201.88,57.12,511.1,78.17,0.37,22.33,348.98
21.74,7.88,hot,-4.13,31.74,0.24,yes,Sport,FWD,156.21,193.26,333.83,88.89,0.24,19.32,249.65
76.4,4.89,hot,-2.48,53.37,0.52,no,Sport,FWD,230.33,193.59,203.92,59.8,1.28,45.69,391.5
12.27,4.18,mild,-4.36,23.35,0.99,no,Sport,RWD,202.37,166.65,163.24,98.27,0.12,12.06,251.06
69.28,8.45,hot,-0.5,47.23,0.44,no,Eco,RWD,176.95,180.97,371.73,53.42,1.3,37.01,367.1
56.47,2.44,hot,-0.49,95.19,0.88,yes,Sport,RWD,169.81,120.05,229.35,99.36,0.57,56.11,404.79
99.14,9.4,hot,-3.14,42.65,0.21,yes,Sport,RWD,206.45,159.77,377.39,99.82,0.99,98.96,560.06
17.75,3.65,cold,2.68,110.62,0.03,yes,Eco,RWD,225.61,109.27,473.05,88.0,0.2,15.62,254.51
14.01,6.11,hot,-3.54,102.22,0.81,no,Eco,RWD,165.13,131.83,117.51,60.15,0.23,8.43,244.69
69.11,3.78,cold,-3.13,126.37,0.16,yes,Sport,FWD,127.89,137.66,469.04,82.43,0.84,56.97,364.72
15.34,5.4,hot,-0.36,71.34,0.5,no,Sport,RWD,136.51,133.67,184.23,33.66,0.46,5.16,221.11
41.54,9.19,cold,-1.21,121.44,0.92,yes,Eco,RWD,147.46,194.37,329.87,81.61,0.51,33.9,248.62
76.9,9.63,cold,-4.31,83.92,0.63,yes,Sport,RWD,249.57,89.8,324.51,65.05,1.18,50.02,336.32
93.29,6.6,hot,4.08,59.94,0.73,yes,Eco,RWD,191.39,148.48,293.97,72.4,1.29,67.54,448.35
60.65,6.35,cold,-0.23,102.32,0.01,yes,Sport,FWD,123.69,83.45,401.76,86.41,0.7,52.41,380.05
49.03,1.11,cold,-1.05,45.66,0.63,yes,Eco,RWD,139.26,54.82,235.28,43.61,1.12,21.38,288.17
11.06,5.92,mild,4.76,50.47,0.42,no,Eco,RWD,224.31,54.17,541.69,88.75,0.12,9.82,287.42
99.38,7.57,hot,0.24,69.87,0.26,yes,Normal,FWD,167.84,185.14,435.56,84.5,1.18,83.98,519.76
47.29,2.98,hot,4.38,66.73,0.83,yes,Eco,FWD,233.03,143.62,352.3,85.55,0.55,40.46,358.18
12.11,0.17,cold,-4.5,127.87,0.33,yes,Normal,FWD,180.12,196.55,217.83,59.83,0.2,7.25,196.43
77.84,3.52,hot,1.33,42.47,0.83,yes,Sport,FWD,205.38,141.01,495.23,59.18,1.32,46.07,355.64
83.9,1.85,hot,-2.66,77.79,0.12,no,Sport,FWD,184.1,160.1,475.36,84.82,0.99,71.16,517.09
80.89,2.04,mild,3.4,100.32,0.42,yes,Eco,FWD,244.38,172.43,222.33,45.31,1.79,36.65,377.46
89.09,7.18,mild,3.55,64.52,0.54,yes,Sport,RWD,148.27,111.56,394.59,98.89,0.9,88.1,548.3
29.78,7.42,hot,-1.15,69.07,0.99,yes,Normal,FWD,196.59,183.36,351.84,95.08,0.31,28.31,281.75
75.4,2.21,mild,-2.14,50.83,0.93,yes,Normal,RWD,128.71,174.09,457.57,72.98,1.03,55.03,442.7
52.14,9.86,cold,-0.6,21.7,0.86,no,Normal,RWD,155.86,186.48,161.9,83.21,0.63,43.39,314.8
20.9,1.98,hot,-2.95,126.48,0.55,yes,Eco,RWD,124.78,136.61,521.15,55.64,0.38,11.63,237.46
86.49,0.88,hot,4.32,116.93,0.91,yes,Sport,RWD,147.76,124.26,141.01,80.44,1.08,69.57,444.58
93.53,3.99,mild,-4.81,43.63,0.64,yes,Sport,FWD,146.63,159.17,239.0,60.98,1.53,57.03,426.19
28.1,7.69,mild,3.22,103.95,0.49,yes,Normal,RWD,135.49,72.27,142.21,42.94,0.65,12.07,230.76
70.8,0.46,cold,-1.27,23.17,0.96,no,Sport,FWD,143.4,84.33,436.39,83.79,0.84,59.32,427.44
30.09,3.09,cold,2.77,54.69,0.23,yes,Normal,FWD,145.11,126.8,192.07,59.08,0.51,17.78,264.51
23.96,6.67,hot,-2.0,95.98,0.25,no,Sport,FWD,166.67,136.65,177.44,46.25,0.52,11.08,244.88
20.75,3.14,hot,4.37,109.83,0.56,yes,Sport,RWD,231.04,149.61,302.66,54.12,0.38,11.23,216.67
82.76,3.56,mild,-4.52,73.24,0.32,yes,Eco,RWD,230.48,74.07,479.62,90.63,0.91,75.01,522.29
55.92,5.66,mild,1.87,128.42,0.11,yes,Normal,RWD,222.1,145.71,476.43,54.05,1.03,30.22,331.64
29.62,7.31,mild,2.32,61.01,0.09,yes,Eco,FWD,140.26,121.59,395.3,43.05,0.69,12.75,290.55
14.55,2.61,cold,-0.14,23.11,0.72,no,Sport,FWD,170.08,118.46,110.92,58.94,0.25,8.58,222.2
78.61,4.24,hot,2.18,27.49,0.57,yes,Eco,FWD,190.71,70.46,447.22,92.15,0.85,72.44,481.93
26.01,8.32,cold,-1.57,90.4,0.23,yes,Eco,RWD,198.89,64.68,479.64,72.72,0.36,18.91,266.03
48.66,4.22,hot,2.79,85.15,0.24,yes,Eco,RWD,198.59,195.95,107.99,85.07,0.57,41.4,386.68
55.3,8.59,cold,-2.43,27.49,0.51,no,Sport,RWD,178.22,184.22,431.71,68.24,0.81,37.74,313.25
96.59,8.44,cold,2.43,37.19,0.6,no,Eco,FWD,168.85,175.71,227.68,74.5,1.3,71.96,457.32
80.14,3.6,mild,2.62,73.22,0.99,yes,Sport,RWD,247.13,120.99,288.51,97.91,0.82,78.47,502.28
16.57,7.4,hot,3.19,37.25,0.81,no,Sport,FWD,159.68,67.77,499.07,65.64,0.25,10.88,216.25
15.27,0.2,cold,2.91,119.52,0.97,no,Eco,RWD,166.16,83.57,255.23,50.61,0.3,7.73,223.8
49.28,0.02,cold,3.13,110.16,0.15,no,Sport,RWD,179.3,190.57,522.73,76.33,0.65,37.62,368.15
24.83,8.51,hot,4.72,46.79,0.52,no,Sport,RWD,180.41,150.46,570.48,53.01,0.47,13.16,230.91
28.1,0.18,hot,2.74,96.86,0.59,yes,Normal,RWD,211.7,85.86,321.75,96.49,0.29,27.11,320.32
25.89,4.62,mild,2.12,20.2,0.48,yes,Eco,FWD,180.17,73.22,111.19,94.53,0.27,24.47,309.38
18.05,1.19,cold,2.25,26.46,0.77,yes,Sport,FWD,191.19,156.19,450.28,92.81,0.19,16.75,229.88
28.26,3.75,cold,-1.12,101.8,0.18,yes,Sport,FWD,132.81,198.05,422.25,85.48,0.33,24.16,269.41
54.47,0.12,cold,1.1,33.56,0.97,no,Normal,RWD,242.49,115.82,544.53,44.34,1.23,24.15,290.84
70.63,7.28,cold,-3.48,71.6,0.91,no,Normal,RWD,140.06,181.92,156.24,97.05,0.73,68.55,454.35
36.76,1.49,hot,1.52,20.55,0.01,no,Sport,RWD,161.64,62.26,528.99,95.98,0.38,35.28,370.25
71.53,0.03,hot,2.93,128.25,0.89,yes,Eco,RWD,153.73,174.53,451.29,80.77,0.89,57.77,425.88
81.41,6.19,hot,2.44,101.26,0.2,no,Sport,RWD,167.77,166.65,301.28,98.37,0.83,80.08,526.72
48.86,4.21,hot,3.77,23.19,0.97,no,Eco,RWD,130.35,163.64,282.4,39.51,1.24,19.3,265.7
35.13,6.14,mild,-4.26,54.07,0.73,no,Normal,FWD,143.36,177.82,583.54,87.86,0.4,30.87,335.11
87.32,2.35,hot,3.42,112.6,0.46,yes,Normal,FWD,201.42,170.84,205.52,36.58,2.39,31.94,322.86
48.78,3.01,cold,2.44,123.57,0.04,no,Normal,FWD,195.19,175.59,365.0,99.33,0.49,48.45,385.04
36.39,3.71,cold,1.28,114.32,0.65,yes,Sport,RWD,186.85,108.18,557.54,57.54,0.63,20.94,222.3
96.13,1.78,hot,0.85,103.9,0.09,no,Normal,RWD,190.55,92.99,420.57,52.06,1.85,50.05,442.48
97.0,7.22,mild,2.5,85.1,0.31,no,Normal,FWD,125.61,152.52,183.56,32.93,2.95,31.94,370.14
60.11,2.07,cold,-2.79,129.42,0.14,yes,Normal,RWD,182.88,152.5,346.49,94.41,0.64,56.75,384.61
42.61,1.18,cold,4.13,91.18,0.51,no,Sport,FWD,160.3,169.99,366.48,64.6,0.66,27.53,294.65
71.31,7.73,mild,-2.3,83.28,0.77,no,Normal,RWD,248.82,82.85,524.15,71.6,1.0,51.06,416.72
93.67,0.71,mild,-4.88,77.05,0.9,yes,Sport,RWD,168.09,60.59,443.43,48.5,1.93,45.43,397.13
43.93,9.35,cold,-1.55,64.95,0.34,yes,Sport,FWD,235.76,61.61,299.69,68.07,0.65,29.9,269.22
85.9,6.12,cold,2.1,71.84,0.65,yes,Normal,FWD,171.22,55.15,264.26,67.67,1.27,58.13,401.9
93.76,8.26,cold,3.66,118.06,0.66,yes,Normal,RWD,196.07,191.03,441.73,49.35,1.9,46.27,320.08
71.29,0.71,cold,-4.63,49.67,0.13,yes,Sport,RWD,165.86,196.32,382.5,33.01,2.16,23.53,290.39
37.81,5.17,mild,-1.53,28.35,0.59,no,Sport,RWD,123.9,196.49,586.9,51.76,0.73,19.57,284.31
94.84,1.98,cold,1.52,51.65,0.67,yes,Sport,RWD,169.48,165.29,139.35,36.25,2.62,34.38,310.16
75.0,1.02,hot,1.34,21.88,0.47,no,Eco,RWD,181.07,61.76,428.73,31.03,2.42,23.27,337.76
46.42,7.97,hot,1.13,83.28,0.45,yes,Normal,RWD,237.48,122.32,369.06,56.69,0.82,26.32,281.4
55.82,9.66,mild,2.64,71.54,0.46,no,Eco,RWD,184.51,158.79,478.62,67.52,0.83,37.69,368.89
54.53,3.49,cold,2.43,100.55,0.09,yes,Eco,RWD,189.97,175.92,290.55,42.81,1.27,23.34,299.76
27.25,8.1,hot,2.28,44.84,0.05,yes,Sport,FWD,157.65,114.09,565.21,57.51,0.47,15.67,249.23
53.6,7.7,mild,1.87,35.78,0.19,no,Sport,FWD,242.44,148.75,251.23,50.99,1.05,27.33,315.91
20.3,7.34,mild,-1.45,72.81,0.95,no,Eco,RWD,233.73,94.43,419.74,73.53,0.28,14.93,277.9
19.63,9.88,mild,-1.64,36.16,0.19,yes,Sport,RWD,249.9,148.34,528.66,75.42,0.26,14.8,232.71
49.61,0.1,hot,4.4,49.33,0.34,yes,Eco,FWD,177.15,162.68,255.84,34.69,1.43,17.21,306.66
93.16,8.99,mild,0.8,52.41,0.05,no,Sport,FWD,192.92,90.77,243.97,57.6,1.62,53.66,435.71
85.29,9.54,cold,-1.97,95.99,0.6,no,Eco,FWD,245.2,195.62,331.81,94.02,0.91,80.19,496.09
37.31,4.05,hot,1.52,106.53,0.84,yes,Eco,FWD,189.54,160.08,111.8,57.63,0.65,21.5,285.82
22.54,7.03,mild,-0.54,58.47,0.46,no,Normal,RWD,245.6,169.81,503.52,59.84,0.38,13.49,285.08
54.76,3.67,cold,1.4,118.87,0.57,no,Eco,FWD,184.94,160.19,103.75,32.38,1.69,17.73,264.48
68.68,9.34,mild,-1.41,122.62,0.74,yes,Eco,RWD,212.05,92.59,495.12,73.17,0.94,50.25,367.28
53.3,7.19,cold,1.43,77.24,0.64,yes,Sport,RWD,127.55,147.94,213.76,35.35,1.51,18.84,208.41
10.34,7.98,hot,3.11,61.36,0.07,no,Normal,FWD,124.16,112.59,348.24,76.95,0.13,7.96,244.4
73.26,8.18,mild,4.06,116.83,0.62,no,Sport,FWD,209.44,162.21,255.14,84.42,0.87,61.85,418.13
57.76,2.59,cold,-0.3,103.12,0.39,yes,Sport,FWD,122.24,123.95,243.77,37.03,1.56,21.39,271.09
13.75,4.88,hot,-0.22,111.12,0.18,no,Sport,FWD,130.82,96.0,583.33,39.73,0.35,5.46,242.04
76.45,0.56,hot,1.84,61.14,0.05,yes,Normal,RWD,167.05,176.27,415.66,75.98,1.01,58.09,474.55
34.27,1.45,cold,-1.18,47.55,0.25,yes,Eco,RWD,134.83,80.7,148.77,30.31,1.13,10.39,263.95
22.18,8.84,mild,-3.49,24.03,0.37,no,Eco,FWD,187.17,164.34,396.23,91.19,0.24,20.23,308.2
84.15,3.1,cold,-1.24,85.83,0.64,no,Eco,RWD,147.27,166.71,138.57,47.44,1.77,39.92,389.82
82.68,8.76,hot,-2.99,87.53,0.49,yes,Eco,RWD,136.61,72.59,493.48,64.71,1.28,53.5,411.91
12.92,9.8,mild,-0.35,68.1,0.4,yes,Sport,FWD,126.27,165.37,339.74,97.91,0.13,12.65,247.59
45.75,4.22,mild,1.57,107.59,0.32,no,Normal,RWD,248.55,115.28,385.7,61.49,0.74,28.13,339.13
70.81,7.78,mild,-0.15,36.78,0.61,yes,Sport,FWD,220.96,160.76,525.78,76.2,0.93,53.96,394.15
19.31,5.36,mild,3.36,52.92,0.97,yes,Sport,RWD,205.15,91.82,480.02,94.46,0.2,18.24,242.26
40.85,8.88,hot,-2.3,67.48,0.65,yes,Eco,FWD,177.15,144.61,421.0,70.78,0.58,28.91,285.11
19.5,1.92,mild,-2.91,123.09,0.1,no,Sport,RWD,220.73,105.56,118.45,55.46,0.35,10.81,281.4
81.69,7.25,cold,-4.11,127.75,0.44,no,Eco,RWD,182.79,157.93,362.49,43.86,1.86,35.83,306.92
13.68,5.52,hot,1.53,66.25,0.13,no,Normal,RWD,142.82,106.39,108.57,84.45,0.16,11.55,277.13
13.63,5.38,mild,-4.55,72.38,0.25,yes,Eco,RWD,232.43,165.87,101.26,88.58,0.15,12.07,281.94
66.31,2.74,hot,-1.14,38.57,0.97,no,Sport,RWD,173.48,156.01,387.91,37.56,1.77,24.91,308.16
11.31,3.05,hot,-2.28,127.14,0.74,yes,Normal,FWD,159.92,60.33,461.25,30.72,0.37,3.47,170.37
68.28,6.49,mild,-2.96,93.26,0.77,no,Normal,RWD,138.7,71.24,118.9,61.5,1.11,41.99,404.62
19.77,7.9,hot,2.47,78.25,0.61,yes,Eco,FWD,222.28,151.26,420.88,99.6,0.2,19.69,264.96
55.29,6.63,mild,4.16,114.01,0.3,no,Sport,FWD,176.65,57.53,227.72,37.46,1.48,20.71,301.73
46.31,7.96,cold,-4.85,40.18,0.12,yes,Eco,RWD,169.37,124.23,117.09,54.6,0.85,25.29,272.1
44.52,2.04,cold,4.51,39.8,0.1,no,Eco,FWD,140.52,116.59,424.95,43.4,1.03,19.32,296.13
44.93,7.72,cold,2.42,117.61,0.75,no,Normal,FWD,148.73,193.56,335.82,81.18,0.55,36.47,299.38
36.23,8.22,hot,-2.01,109.76,0.55,yes,Normal,RWD,207.95,195.82,434.25,76.59,0.47,27.75,263.4
25.95,6.41,cold,-0.62,30.15,0.62,yes,Normal,RWD,131.37,108.19,371.8,80.85,0.32,20.98,239.04
65.08,0.17,hot,-3.64,107.36,0.71,no,Normal,FWD,220.18,114.49,272.98,91.67,0.71,59.66,451.51
38.24,0.92,cold,-3.84,120.26,0.94,no,Sport,RWD,208.61,180.65,214.86,91.13,0.42,34.85,300.46
68.08,5.75,mild,0.8,117.95,0.88,no,Normal,FWD,200.77,130.27,114.2,99.84,0.68,67.97,480.79
76.23,8.17,cold,-4.74,87.92,0.69,yes,Sport,RWD,202.98,60.47,575.35,65.32,1.17,49.79,347.99
90.9,4.43,cold,1.72,108.49,0.57,yes,Eco,RWD,152.66,63.73,265.51,35.46,2.56,32.23,295.45
61.37,1.09,hot,4.28,34.52,0.27,yes,Normal,FWD,147.72,109.03,108.85,75.03,0.82,46.05,385.06
81.04,8.38,cold,2.72,62.72,0.84,no,Sport,FWD,172.94,112.0,286.85,43.53,1.86,35.28,307.29
48.29,7.24,hot,4.16,91.23,0.78,yes,Normal,RWD,237.69,140.66,431.63,32.68,1.48,15.78,218.98
91.08,5.79,cold,0.05,99.26,0.23,yes,Sport,RWD,144.09,59.32,581.95,58.63,1.55,53.4,391.46
38.02,7.11,mild,-1.03,54.44,0.53,no,Eco,RWD,225.12,150.4,584.25,87.3,0.44,33.19,371.96
83.74,3.44,mild,-2.14,54.07,0.31,no,Normal,FWD,158.2,172.53,277.85,41.73,2.01,34.94,386.36
32.69,3.04,mild,0.06,103.57,0.9,no,Eco,FWD,148.62,66.87,169.36,35.71,0.92,11.67,297.44
38.66,4.41,cold,-4.11,86.29,0.64,no,Normal,RWD,135.43,126.51,408.23,39.57,0.98,15.3,257.23
26.44,4.2,cold,-2.38,58.36,0.34,yes,Normal,FWD,246.98,78.64,291.13,47.53,0.56,12.57,236.09
87.23,1.24,hot,-2.81,24.78,0.81,yes,Normal,FWD,242.32,94.12,471.91,78.65,1.11,68.61,451.94
77.47,1.43,hot,-2.16,28.07,0.55,yes,Normal,RWD,178.13,185.03,561.64,67.81,1.14,52.53,396.13
68.53,1.7,cold,3.49,88.05,0.81,yes,Eco,FWD,121.62,56.43,356.24,61.9,1.11,42.42,375.28
76.32,0.78,mild,-2.94,98.51,0.44,yes,Eco,RWD,161.07,176.17,221.67,84.0,0.91,64.11,502.62
76.72,3.06,cold,1.8,40.55,0.57,no,Sport,FWD,145.35,90.21,382.48,65.17,1.18,50.0,379.1
79.07,4.49,cold,3.89,55.33,0.25,no,Sport,RWD,221.42,68.44,271.62,30.21,2.62,23.89,282.57
28.3,6.12,mild,-2.91,80.26,0.95,no,Normal,RWD,245.09,96.77,551.38,47.31,0.6,13.39,277.25
52.7,6.16,mild,3.63,38.43,0.44,yes,Eco,FWD,218.9,113.65,313.48,95.93,0.55,50.56,427.41
52.53,9.68,hot,-3.16,24.91,0.47,no,Normal,RWD,202.08,72.28,176.91,91.48,0.57,48.05,392.37
45.85,0.53,mild,3.9,101.02,0.55,yes,Normal,RWD,233.07,116.61,506.6,42.29,1.08,19.39,310.72
41.45,6.65,cold,0.54,62.66,0.18,yes,Eco,RWD,232.95,118.16,115.99,97.29,0.43,40.33,348.45
20.73,9.15,mild,-1.8,58.1,0.61,no,Sport,RWD,214.73,73.13,184.47,91.21,0.23,18.91,289.63
22.8,4.13,cold,-1.98,95.16,0.85,yes,Normal,FWD,215.85,157.56,407.16,48.47,0.47,11.05,198.9
58.06,4.0,mild,-0.74,94.69,0.17,no,Normal,FWD,136.03,114.32,559.61,89.54,0.65,51.99,479.05
97.84,7.81,mild,-4.57,79.46,0.19,no,Eco,FWD,130.81,131.16,350.17,61.34,1.6,60.02,495.28
48.14,6.65,mild,-2.25,25.39,0.24,yes,Eco,FWD,222.13,89.89,448.67,43.85,1.1,21.11,300.02
83.66,6.78,mild,-2.54,99.97,0.69,yes,Eco,FWD,186.73,114.57,164.58,93.26,0.9,78.02,526.82
15.77,4.23,mild,0.24,125.12,0.69,yes,Normal,RWD,179.99,155.76,414.18,31.32,0.5,4.94,216.83
83.99,3.3,hot,-4.54,39.82,0.79,yes,Eco,FWD,166.94,188.59,100.19,73.27,1.15,61.54,436.22
49.03,5.83,hot,4.34,84.03,0.06,yes,Sport,RWD,207.73,61.02,207.04,49.32,0.99,24.18,300.92
71.7,4.66,cold,4.55,29.44,0.4,no,Sport,FWD,232.32,80.28,461.67,96.83,0.74,69.43,469.43
38.39,6.51,mild,2.42,105.38,0.65,yes,Normal,FWD,149.26,161.32,227.83,45.39,0.85,17.43,265.39
27.6,2.24,mild,-2.59,66.14,0.22,no,Sport,FWD,150.36,165.75,136.74,89.98,0.31,24.83,346.22
58.69,7.22,mild,1.19,87.16,0.45,yes,Normal,RWD,246.66,163.04,562.16,59.13,0.99,34.7,334.87
20.34,3.49,mild,-2.66,83.23,0.67,yes,Sport,RWD,210.81,155.19,378.44,86.99,0.23,17.69,276.02
94.83,6.62,cold,-0.73,83.49,0.51,yes,Sport,FWD,175.66,158.29,192.86,56.83,1.67,53.89,378.39
16.84,4.78,hot,2.77,107.9,0.57,no,Normal,FWD,178.75,113.6,109.54,43.39,0.39,7.31,225.61
64.54,8.79,mild,3.24,125.28,0.1,no,Normal,FWD,121.35,113.74,351.04,46.17,1.4,29.8,316.57
17.47,6.85,hot,-2.96,115.37,0.33,yes,Normal,FWD,232.92,131.08,261.92,38.4,0.45,6.71,193.39
75.82,2.29,mild,3.5,78.72,0.54,yes,Eco,RWD,159.71,182.83,230.83,75.52,1.0,57.26,468.76
41.84,4.66,hot,4.38,73.72,0.19,no,Normal,FWD,168.65,74.13,464.06,94.23,0.44,39.43,387.38
89.11,3.2,mild,0.46,104.93,0.27,yes,Eco,FWD,129.06,115.4,440.0,42.52,2.1,37.89,376.27
39.79,6.77,cold,1.76,64.74,0.19,yes,Eco,FWD,205.46,191.14,199.41,31.25,1.27,12.43,238.06
33.09,5.24,cold,-4.98,54.09,0.81,yes,Sport,FWD,164.06,63.52,182.22,47.2,0.7,15.62,207.02
98.04,6.54,mild,2.3,96.6,0.81,no,Eco,RWD,220.31,152.83,578.45,97.86,1.0,95.94,612.08
87.23,3.54,mild,4.82,26.65,0.42,yes,Eco,RWD,177.47,160.46,275.7,41.56,2.1,36.25,346.94
67.4,9.02,cold,-2.86,40.61,0.03,yes,Sport,RWD,213.39,54.04,278.15,75.89,0.89,51.15,354.38
21.45,7.66,cold,2.7,58.85,0.21,yes,Sport,FWD,144.7,135.33,581.99,95.46,0.22,20.48,253.96
67.07,7.89,cold,-0.03,58.48,0.89,no,Sport,RWD,198.99,75.34,416.18,68.6,0.98,46.01,356.0
46.32,9.71,hot,0.44,112.91,0.69,yes,Eco,RWD,147.03,120.32,585.32,31.94,1.45,14.79,221.45
53.11,5.34,mild,2.06,84.1,0.52,yes,Normal,FWD,221.7,173.24,154.43,51.06,1.04,27.12,334.9
84.54,7.38,cold,-3.52,80.18,0.47,yes,Sport,RWD,223.73,84.2,447.29,30.81,2.74,26.05,241.16
95.4,3.29,mild,-0.38,127.76,0.56,yes,Eco,FWD,218.92,84.4,331.65,77.32,1.23,73.76,510.46
84.85,9.56,cold,1.24,32.18,0.78,yes,Sport,FWD,236.93,161.46,501.02,41.46,2.05,35.18,262.41
12.06,2.8,hot,-1.24,96.64,0.54,yes,Sport,RWD,205.17,131.9,176.24,88.12,0.14,10.63,218.44
87.96,9.64,cold,-0.14,102.21,0.49,yes,Sport,FWD,231.02,97.99,346.29,42.4,2.07,37.3,287.88
39.57,5.92,mild,3.06,22.09,0.4,no,Eco,RWD,135.63,87.78,559.4,38.28,1.03,15.15,309.42
51.49,0.78,mild,-3.39,40.99,0.29,yes,Normal,FWD,235.8,166.52,577.35,82.12,0.63,42.28,411.46
70.83,1.44,mild,1.34,67.91,0.8,no,Eco,FWD,154.0,179.27,152.97,39.72,1.78,28.13,358.53
39.51,0.4,hot,2.71,60.27,0.46,yes,Normal,RWD,158.84,57.15,190.54,78.53,0.5,31.03,334.0
29.27,0.86,mild,-1.2,93.02,0.58,no,Eco,FWD,140.81,150.72,246.25,91.21,0.32,26.7,378.68
29.83,6.4,cold,-1.55,127.4,0.77,no,Sport,FWD,243.4,122.14,534.09,55.95,0.53,16.69,222.68
66.93,7.93,hot,-1.47,110.85,0.56,no,Normal,RWD,193.11,57.71,287.66,87.74,0.76,58.72,432.5
83.66,6.93,mild,-2.9,91.54,0.65,no,Eco,FWD,224.75,121.03,402.2,53.07,1.58,44.4,406.97
47.07,0.46,cold,-0.19,21.8,0.58,no,Sport,RWD,194.53,164.11,286.3,96.01,0.49,45.19,382.71
77.48,4.77,cold,-3.08,90.14,0.52,yes,Eco,FWD,153.08,172.49,277.56,31.01,2.5,24.03,264.11
76.76,0.95,hot,2.05,57.25,0.59,yes,Normal,RWD,156.08,185.88,460.2,37.95,2.02,29.13,322.74
77.13,4.87,cold,-0.0,57.48,0.8,no,Normal,FWD,200.89,171.02,390.0,88.46,0.87,68.23,473.61
80.32,1.66,hot,-4.28,93.29,0.94,yes,Sport,RWD,196.19,163.18,440.41,96.46,0.83,77.48,485.87
10.2,5.7,mild,2.76,33.91,0.11,yes,Sport,RWD,197.32,140.95,581.45,31.71,0.32,3.23,206.26
36.29,3.23,mild,-2.98,60.38,0.01,no,Sport,RWD,213.03,102.47,151.09,77.98,0.47,28.3,355.36
91.79,0.52,cold,-2.42,110.54,0.09,no,Sport,FWD,233.25,192.73,286.96,34.86,2.63,32.0,324.39
28.99,2.44,mild,-0.27,101.27,0.79,no,Normal,FWD,236.57,53.49,254.79,67.67,0.43,19.62,334.18
50.67,0.32,mild,0.7,22.16,0.89,no,Normal,FWD,130.99,91.34,292.49,63.48,0.8,32.17,384.88
78.73,7.44,mild,1.62,99.95,0.75,yes,Eco,FWD,203.46,97.93,533.57,70.5,1.12,55.5,410.19
77.16,2.92,hot,-2.88,26.99,0.63,no,Eco,FWD,191.74,110.43,231.35,67.49,1.14,52.08,440.6
43.7,3.69,mild,4.51,25.35,0.36,yes,Eco,FWD,211.65,130.49,117.52,70.37,0.62,30.75,328.93
21.55,9.23,hot,-2.83,109.1,0.9,yes,Normal,RWD,193.23,79.38,186.21,94.84,0.23,20.44,220.83
45.95,1.2,hot,-0.75,62.35,0.48,no,Eco,FWD,180.96,139.78,404.89,37.17,1.24,17.08,314.59
55.08,4.91,cold,2.7,47.23,0.16,yes,Sport,FWD,135.71,73.69,406.79,31.19,1.77,17.18,240.29
46.62,6.64,cold,-1.82,52.79,0.34,yes,Eco,RWD,236.74,81.36,337.66,43.79,1.06,20.41,264.76
47.75,8.5,mild,1.01,57.93,0.77,yes,Eco,FWD,216.82,117.82,352.87,70.01,0.68,33.43,331.3
10.84,1.32,hot,3.13,79.41,0.09,no,Sport,RWD,243.03,189.52,476.85,58.96,0.18,6.39,269.75
64.88,7.95,hot,-4.58,82.25,0.08,yes,Normal,FWD,180.33,171.63,150.64,37.69,1.72,24.45,281.93
11.18,4.78,mild,-2.93,102.4,0.59,no,Normal,FWD,247.91,114.24,323.24,71.27,0.16,7.97,246.62
28.84,7.26,cold,3.89,127.58,0.92,no,Eco,RWD,163.7,168.8,157.5,57.39,0.5,16.55,220.89
60.92,6.53,cold,-1.14,46.77,0.03,no,Sport,FWD,238.23,161.04,517.65,57.76,1.05,35.19,353.57
92.41,0.41,cold,-1.97,35.99,0.64,no,Sport,RWD,169.06,162.11,383.53,69.33,1.33,64.07,464.71
76.55,0.71,cold,2.84,125.95,0.88,no,Sport,FWD,135.8,99.71,252.26,86.34,0.89,66.09,414.36
47.57,2.15,cold,-1.1,35.93,0.8,no,Sport,RWD,174.7,150.57,518.59,89.0,0.53,42.34,365.57
46.48,6.22,hot,2.08,43.11,0.61,yes,Normal,FWD,213.41,194.23,104.57,82.97,0.56,38.56,324.17
21.94,5.26,hot,4.16,129.71,0.51,yes,Normal,FWD,156.48,185.43,160.08,47.64,0.46,10.45,211.53
19.2,4.45,cold,-0.84,24.29,0.52,no,Eco,RWD,144.53,55.09,307.4,69.52,0.28,13.35,272.13
21.83,5.37,cold,-0.77,101.42,0.51,yes,Sport,RWD,191.81,126.68,258.2,72.66,0.3,15.86,219.92
27.16,3.87,mild,1.0,118.62,0.52,no,Eco,FWD,221.57,185.68,480.3,56.19,0.48,15.26,300.79
20.1,9.38,hot,-3.33,67.45,1.0,yes,Sport,RWD,183.06,57.46,314.91,40.56,0.5,8.15,180.71
12.05,8.29,mild,1.83,27.02,0.4,no,Sport,FWD,128.75,58.25,232.21,51.87,0.23,6.25,225.06
29.46,0.64,hot,3.63,62.96,0.36,no,Sport,RWD,196.39,120.84,112.13,74.91,0.39,22.07,309.29
44.67,0.23,cold,0.21,49.93,0.74,no,Sport,FWD,198.41,84.31,572.44,64.54,0.69,28.83,322.92
