hydrogen_percentage,fuel_cell_age_years,fuel_cell_efficiency,ambient_temp,terrain_slope,speed_avg_kmph,acceleration_level,hvac_on,driving_mode,drive_type,cargo_volume_liters,top_speed_kmph,total_power_kw,total_torque_nm,range_in_km
58.01,0.17,55.62,hot,-4.23,109.47,0.29,no,sport,RWD,1675.9,251.14,233.88,563.35,600.97
80.77,9.88,43.2,cold,-2.94,59.08,0.29,yes,sport,RWD,832.61,280.85,176.7,539.6,539.43
97.62,2.21,57.14,cold,4.7,106.58,0.26,no,normal,FWD,1863.78,225.6,167.17,708.48,619.77
13.63,5.46,57.52,mild,1.49,58.43,0.5,no,eco,AWD,1275.23,169.63,174.36,938.4,522.87
25.21,4.54,60.54,hot,-4.32,65.64,0.49,yes,normal,AWD,210.18,183.61,59.08,216.08,485.43
58.63,11.61,52.89,mild,4.17,22.23,0.48,yes,normal,RWD,1736.12,230.0,117.61,314.82,454.45
78.63,13.8,53.22,mild,-2.61,101.1,0.24,no,eco,FWD,1865.96,278.17,177.03,574.54,582.67
29.28,2.91,58.97,cold,3.5,44.91,0.38,yes,normal,FWD,335.16,251.67,77.32,255.89,524.56
96.06,4.49,56.59,mild,3.07,113.72,0.82,no,eco,AWD,529.06,190.44,121.38,416.48,580.79
55.66,11.42,51.32,hot,-4.05,107.05,0.1,yes,normal,AWD,146.29,211.75,132.6,635.67,471.12
19.93,1.12,43.96,mild,2.79,23.93,0.25,no,normal,FWD,405.51,193.28,96.85,899.1,510.0
21.21,3.16,46.82,hot,-3.07,47.47,0.17,yes,normal,FWD,1180.39,198.95,102.15,518.65,494.54
60.05,1.95,41.46,mild,-2.47,42.52,0.64,no,sport,RWD,1493.13,191.67,215.56,103.27,578.2
48.93,5.99,63.09,cold,-3.44,84.39,0.26,yes,eco,RWD,1211.15,227.51,228.21,882.3,623.73
68.14,3.83,43.28,cold,1.9,72.95,0.68,no,normal,RWD,1300.53,208.35,222.42,718.98,622.17
10.29,2.22,56.27,hot,0.67,62.15,0.71,yes,eco,FWD,1671.37,299.03,68.66,826.6,473.34
23.17,0.8,46.92,mild,1.48,97.99,0.76,yes,eco,AWD,1071.48,184.66,248.57,310.74,537.94
46.58,5.52,46.32,cold,-3.75,29.19,0.91,yes,normal,RWD,1609.22,286.71,207.06,194.37,501.58
98.19,11.37,48.63,hot,3.05,69.69,0.27,yes,normal,RWD,732.22,166.51,102.53,684.1,575.8
92.24,7.89,43.73,cold,-2.27,56.23,0.32,yes,eco,RWD,452.58,154.57,122.77,196.07,608.94
13.85,10.6,41.59,mild,2.6,105.39,0.41,yes,normal,RWD,1484.09,213.84,92.01,688.86,381.28
56.48,2.58,51.93,cold,4.96,64.56,0.67,no,eco,AWD,261.41,263.64,132.25,570.93,591.89
31.05,4.26,54.66,mild,-2.46,101.07,0.11,no,eco,RWD,1816.49,200.44,166.36,400.68,565.88
68.31,2.01,59.36,mild,1.35,79.93,0.97,no,sport,RWD,521.19,167.03,172.44,186.11,627.89
19.53,10.31,50.96,hot,4.67,35.21,0.16,no,normal,AWD,383.24,205.46,179.13,258.3,516.96
37.67,11.97,61.01,hot,2.92,72.88,0.52,yes,eco,AWD,908.95,177.61,80.03,105.69,486.64
43.92,7.98,58.07,mild,1.26,69.37,0.41,no,normal,AWD,1555.93,279.68,219.05,371.77,593.9
32.33,13.38,43.82,mild,1.91,39.07,0.78,no,eco,AWD,450.89,154.16,204.36,900.75,518.72
88.77,2.87,42.42,cold,-2.27,24.79,0.35,no,eco,AWD,1867.72,177.14,240.74,233.15,646.16
23.57,4.64,51.55,mild,3.12,96.14,0.01,no,sport,FWD,341.92,179.95,85.75,479.78,480.91
47.54,9.09,57.23,cold,3.51,27.12,0.53,no,normal,AWD,1035.46,271.27,75.02,759.1,472.92
78.73,14.99,55.0,hot,-0.01,115.31,0.38,yes,eco,RWD,1639.9,231.77,71.27,464.09,455.21
38.26,4.42,53.78,cold,-0.65,40.21,0.29,no,sport,FWD,410.61,226.06,218.27,820.79,588.84
42.64,1.75,46.89,cold,-2.44,29.97,0.63,no,eco,AWD,355.08,284.19,149.76,518.37,563.78
75.51,6.41,57.41,cold,4.97,118.25,0.6,no,eco,RWD,1546.07,157.96,174.31,551.24,540.67
28.39,5.18,56.64,mild,-4.67,50.3,0.69,no,eco,RWD,1776.89,163.88,97.71,364.46,503.35
51.53,6.74,60.81,cold,-1.46,105.01,0.58,yes,eco,AWD,1372.2,165.71,178.22,661.23,511.9
84.39,7.99,62.1,cold,-0.99,32.95,0.27,yes,normal,RWD,116.98,207.62,231.63,498.22,684.03
36.58,1.71,53.1,cold,1.97,39.3,0.67,yes,sport,FWD,1090.75,284.82,74.29,628.92,488.03
79.76,1.58,57.86,mild,-1.35,57.21,0.55,yes,sport,RWD,815.04,175.24,136.38,329.59,602.08
34.69,6.16,52.56,cold,4.04,69.68,0.69,yes,normal,RWD,1600.98,154.66,174.75,201.63,490.41
53.54,4.85,61.69,hot,0.75,47.46,0.94,no,normal,FWD,496.73,292.61,114.39,372.05,590.03
92.63,3.73,51.79,mild,1.84,61.71,0.31,no,eco,FWD,128.13,166.06,74.57,806.63,647.82
96.11,5.46,43.25,cold,1.8,45.03,0.15,no,normal,FWD,913.19,188.84,197.5,379.93,666.71
66.48,4.94,57.74,cold,4.81,90.97,0.7,no,sport,RWD,366.79,271.24,178.83,768.02,585.52
16.68,13.6,52.26,mild,-2.87,34.39,0.11,no,eco,RWD,677.06,251.33,184.49,571.88,547.49
44.43,14.71,58.28,hot,-4.24,50.53,0.73,no,eco,AWD,1668.22,274.1,201.27,958.22,540.82
46.22,8.75,46.59,mild,3.43,89.0,1.0,yes,normal,AWD,1157.2,270.7,186.35,605.11,459.16
28.68,2.32,42.14,cold,-4.64,78.58,0.42,no,sport,FWD,439.96,282.7,91.83,135.6,494.2
64.42,2.58,42.94,cold,-4.21,25.41,0.68,no,normal,AWD,1345.0,192.65,214.44,354.32,582.94
41.17,1.75,56.18,cold,-2.83,47.91,0.22,yes,sport,AWD,1364.12,218.98,93.59,350.96,490.33
23.07,0.98,53.42,mild,2.68,51.98,0.01,no,normal,RWD,638.78,276.22,145.15,921.19,598.25
66.76,14.2,62.69,mild,3.23,29.17,0.6,no,normal,AWD,202.46,267.41,110.71,624.97,549.76
64.15,10.54,46.99,cold,-0.08,100.97,0.44,no,normal,AWD,185.16,188.17,141.4,369.01,536.25
27.91,11.46,54.44,hot,-3.7,89.06,0.34,no,sport,FWD,459.81,207.75,105.82,689.48,448.57
25.57,11.19,60.3,mild,3.14,91.61,0.48,yes,eco,RWD,697.01,151.64,157.06,224.23,495.54
94.73,3.82,40.3,mild,-4.06,40.45,0.11,no,sport,AWD,1762.08,233.85,61.83,612.57,548.28
13.28,1.81,57.13,mild,-2.74,93.26,0.63,yes,eco,AWD,1624.02,226.8,118.85,992.22,459.19
60.29,2.32,62.2,cold,3.63,65.78,0.48,yes,normal,AWD,139.18,221.21,152.37,164.65,604.1
39.25,11.73,48.66,hot,4.79,81.8,0.77,no,eco,AWD,299.58,261.83,248.78,725.11,552.82
51.3,9.34,62.72,mild,0.94,44.59,0.62,yes,eco,RWD,802.64,291.85,53.54,705.66,496.77
49.68,4.85,43.16,mild,4.35,116.17,0.37,no,eco,RWD,1601.82,299.99,179.43,922.22,496.0
93.64,13.62,47.94,mild,-0.53,29.17,0.41,no,eco,RWD,1331.15,265.66,109.75,488.75,580.36
47.19,3.11,48.63,mild,4.67,34.92,0.55,yes,eco,AWD,1036.93,221.17,68.03,413.19,498.82
55.71,8.88,41.82,cold,-3.65,94.49,0.12,no,normal,RWD,1253.9,273.81,169.81,943.94,529.29
89.5,5.87,43.38,cold,1.62,30.48,0.57,yes,normal,FWD,1243.7,290.85,219.55,890.32,585.7
95.21,7.6,47.94,cold,0.64,70.0,0.76,yes,sport,RWD,821.11,170.67,129.38,237.89,575.96
77.86,1.96,54.46,cold,0.11,80.54,0.5,no,normal,AWD,1669.64,262.93,159.3,783.08,621.68
38.98,13.05,43.9,hot,4.27,118.13,0.7,no,sport,AWD,1714.23,195.29,52.59,108.17,332.09
61.68,2.79,60.76,hot,-3.89,116.28,0.89,yes,sport,FWD,452.87,151.9,75.04,949.3,478.78
20.77,1.65,63.58,cold,-0.23,106.18,0.8,yes,eco,FWD,370.18,273.79,245.73,478.17,580.22
21.47,4.95,51.7,mild,1.87,31.44,0.15,yes,normal,AWD,1370.82,217.68,205.33,360.7,533.6
63.3,13.72,54.26,mild,-0.04,21.26,0.96,no,eco,RWD,1830.4,265.52,182.79,128.85,539.85
75.87,4.61,63.42,hot,2.17,45.73,0.14,yes,normal,AWD,1518.51,187.7,169.33,692.88,605.85
99.33,2.9,40.76,mild,-4.54,100.69,0.82,yes,sport,FWD,1327.18,160.18,178.72,134.77,540.03
31.47,9.0,62.81,cold,-3.01,66.06,0.45,no,normal,RWD,853.17,271.71,97.3,339.32,539.61
84.67,7.57,53.38,cold,0.85,60.48,0.24,no,sport,RWD,1602.43,279.25,91.74,456.54,584.43
50.82,1.99,52.43,mild,4.59,42.03,0.57,yes,normal,FWD,662.94,202.62,109.06,711.72,522.52
80.77,12.28,45.63,cold,4.39,24.22,0.87,no,eco,RWD,1523.06,258.71,147.7,515.12,523.35
16.4,11.6,54.25,mild,2.72,31.1,0.07,yes,normal,AWD,1939.06,192.74,213.86,551.33,469.79
54.3,3.33,58.13,hot,3.73,90.9,0.87,yes,eco,FWD,257.61,282.09,196.05,975.89,593.44
73.01,7.19,51.95,hot,2.46,77.87,0.56,yes,normal,RWD,1778.1,190.92,70.87,965.73,516.93
82.59,9.64,59.66,cold,-1.62,44.71,0.44,yes,sport,AWD,650.57,299.59,201.09,812.06,607.3
15.74,14.01,60.6,hot,1.14,88.75,0.47,yes,normal,FWD,427.67,254.27,115.32,150.18,437.79
93.71,10.55,46.22,mild,3.97,22.03,0.29,no,normal,FWD,563.12,265.26,166.67,833.78,594.93
28.8,6.1,59.33,mild,-1.79,23.73,0.75,yes,sport,AWD,512.88,292.89,54.86,194.36,441.53
13.94,14.04,43.26,hot,-3.08,40.24,0.63,no,sport,AWD,154.12,168.7,92.63,122.03,398.25
47.65,12.74,51.18,mild,-3.74,98.33,0.15,yes,sport,RWD,225.61,272.0,210.27,172.06,501.61
68.58,5.35,40.81,mild,-0.85,33.71,0.58,no,sport,AWD,1164.67,284.12,171.93,176.64,550.06
82.99,8.02,61.59,mild,-1.48,40.02,0.85,yes,sport,FWD,146.08,263.73,197.3,255.38,593.79
82.39,3.94,60.64,cold,2.78,118.76,0.21,yes,sport,FWD,310.48,174.71,85.8,773.98,541.26
23.24,0.82,55.85,hot,-4.73,48.15,0.07,yes,sport,FWD,1392.0,265.06,177.63,470.18,527.03
31.86,3.65,43.79,hot,2.31,97.3,0.3,no,sport,RWD,666.19,214.31,242.09,749.71,545.02
85.97,3.1,43.07,hot,2.97,26.85,0.58,yes,eco,RWD,326.41,287.13,155.55,730.26,608.52
18.95,9.36,51.27,cold,2.69,54.64,0.65,yes,normal,AWD,1970.22,170.94,51.51,738.2,386.81
93.89,14.49,50.66,mild,-1.65,84.98,0.78,yes,normal,FWD,697.26,209.17,199.02,523.9,567.46
73.36,0.55,60.59,cold,-2.29,21.41,0.81,yes,sport,AWD,1234.98,275.37,59.15,252.02,521.48
73.56,0.98,46.29,cold,4.77,29.11,0.81,no,sport,RWD,338.61,193.88,54.7,798.47,503.51
19.84,8.35,63.88,mild,-0.0,77.37,0.87,no,eco,FWD,1259.15,261.73,209.69,507.24,566.73
37.79,0.61,58.44,hot,-3.48,77.48,0.8,no,sport,FWD,640.63,292.83,87.4,877.15,526.6
75.83,7.38,63.98,cold,1.85,59.08,0.77,yes,sport,FWD,377.23,273.87,129.56,538.84,582.16
68.51,1.79,58.21,hot,-3.71,39.16,0.9,no,sport,FWD,949.07,221.85,194.24,958.34,619.3
57.19,6.37,47.58,hot,-4.42,68.91,0.41,no,eco,FWD,1824.84,258.93,183.38,356.86,562.63
61.07,4.49,63.98,mild,4.47,116.52,0.96,no,sport,RWD,1720.82,210.94,187.57,596.38,509.77
12.17,7.74,61.35,mild,1.94,43.73,0.45,no,sport,RWD,696.78,197.3,61.38,533.13,470.6
58.99,4.69,49.98,mild,0.43,53.3,0.97,no,normal,RWD,442.71,296.87,184.3,547.36,594.97
77.04,9.65,53.79,mild,2.72,116.38,0.75,yes,normal,RWD,946.55,227.37,154.45,672.09,487.71
14.89,4.77,60.75,hot,-2.05,104.83,0.35,yes,eco,RWD,1339.97,294.34,171.54,825.76,516.65
56.33,1.12,43.25,hot,-4.91,107.59,0.21,no,eco,FWD,207.96,273.42,118.29,444.91,573.53
54.97,4.11,42.8,hot,-0.33,114.58,0.63,no,eco,RWD,1025.48,219.92,165.09,316.16,556.13
35.78,3.49,49.63,mild,4.98,54.62,0.48,yes,normal,RWD,1672.03,163.56,86.47,552.16,467.72
55.7,12.27,58.26,hot,3.63,70.78,0.91,no,sport,RWD,141.6,259.63,65.63,708.76,480.49
94.56,0.69,64.98,hot,-1.41,37.09,0.69,no,sport,RWD,614.73,282.54,108.56,525.92,641.0
34.21,8.17,41.82,cold,4.16,104.07,0.87,yes,eco,RWD,1254.98,271.73,82.64,492.54,409.45
48.77,13.11,57.27,hot,-1.31,106.47,0.33,no,normal,FWD,943.32,165.2,142.97,596.58,498.35
46.32,12.22,64.54,cold,1.66,58.68,0.71,no,normal,RWD,1795.18,269.77,229.13,946.1,569.49
59.57,13.3,50.5,hot,0.14,84.61,0.27,no,sport,FWD,1959.4,247.33,237.76,815.06,578.8
29.43,10.9,64.85,cold,3.18,101.31,0.12,no,eco,AWD,260.16,199.9,66.93,126.86,505.68
66.5,5.62,53.97,cold,-0.54,102.69,0.88,no,sport,RWD,1332.01,255.43,66.83,887.45,501.14
83.66,6.11,64.05,hot,4.6,40.72,0.81,yes,normal,AWD,826.01,278.63,196.09,954.1,591.62
84.92,10.37,41.79,cold,1.75,60.48,0.04,no,eco,RWD,683.91,188.99,74.61,657.58,574.66
45.88,8.22,57.45,mild,3.07,53.51,0.27,yes,sport,FWD,1269.06,268.61,114.5,578.9,494.95
82.63,9.4,43.86,hot,1.82,49.28,0.82,yes,normal,RWD,544.28,230.95,198.96,392.32,560.67
84.68,3.29,45.23,cold,-5.0,45.39,0.76,yes,eco,FWD,1113.89,192.66,130.47,926.87,581.21
11.74,10.67,49.65,cold,4.67,37.47,0.37,no,sport,FWD,584.47,174.51,67.78,528.53,438.14
39.44,3.78,62.73,cold,-4.26,99.51,0.93,no,normal,FWD,1702.35,290.85,111.16,842.11,502.97
95.37,0.73,54.74,hot,-1.12,98.78,0.95,yes,sport,AWD,217.28,255.43,101.98,668.95,572.1
67.36,12.15,50.2,cold,-1.02,62.39,0.08,no,sport,AWD,1739.22,247.66,133.64,428.97,537.25
22.93,9.16,63.65,hot,-0.06,43.5,0.9,no,eco,AWD,1936.17,199.29,86.89,556.28,492.8
85.78,7.15,46.43,cold,-0.6,46.54,0.26,no,normal,FWD,1172.4,269.27,117.16,877.67,602.3
45.1,6.35,47.09,cold,-0.06,26.43,0.56,no,normal,RWD,114.59,284.92,72.1,993.97,518.85
11.62,10.09,58.1,mild,0.47,102.74,0.75,no,eco,RWD,966.77,266.43,164.57,816.5,496.29
46.52,3.87,44.61,cold,-3.14,27.34,0.41,yes,eco,AWD,859.44,245.82,129.71,903.63,512.99
52.53,2.0,45.42,mild,-3.34,60.25,0.6,yes,eco,FWD,571.72,290.19,164.43,750.5,558.15
38.55,3.45,50.32,mild,-2.65,80.64,0.96,yes,normal,AWD,327.41,158.28,216.37,453.04,546.05
97.8,7.69,48.45,hot,4.08,23.44,0.94,yes,sport,RWD,217.53,225.33,187.24,968.87,557.25
60.72,5.44,60.94,cold,-0.49,94.9,0.45,no,eco,AWD,458.17,222.39,231.03,450.92,632.83
28.61,12.72,42.03,hot,-0.44,117.14,0.55,no,eco,FWD,1421.3,183.96,162.12,631.37,456.3
76.26,1.94,44.21,cold,-3.45,55.75,0.1,yes,eco,FWD,1296.47,186.39,87.04,702.82,568.48
87.4,5.03,55.46,cold,-0.25,106.01,0.13,yes,sport,FWD,1596.54,267.82,182.35,342.92,574.87
90.26,1.28,49.9,hot,-0.05,105.57,0.12,no,sport,FWD,1300.31,239.34,220.2,250.06,659.17
93.09,1.67,47.05,hot,-4.98,34.27,0.7,yes,sport,RWD,1657.8,234.13,101.42,639.27,531.17
72.67,1.6,45.14,hot,1.32,60.33,0.09,yes,normal,FWD,170.88,240.92,132.37,365.8,611.78
24.32,2.04,51.63,hot,-2.25,83.02,0.84,no,sport,RWD,763.78,241.42,117.01,867.49,480.31
15.62,0.3,62.8,mild,-1.74,100.53,0.04,yes,eco,RWD,934.73,238.31,248.52,369.87,577.73
32.01,6.07,59.76,mild,4.82,104.59,0.44,no,sport,AWD,868.52,163.17,164.23,969.57,474.71
42.28,14.61,63.28,cold,4.65,80.06,0.91,no,eco,RWD,628.56,158.18,71.97,585.74,490.5
17.18,10.31,57.9,hot,-0.39,89.48,0.84,yes,sport,RWD,1108.44,197.17,115.14,272.43,404.79
47.85,0.55,42.67,hot,2.87,21.57,0.68,no,eco,RWD,1695.94,266.13,237.85,983.18,594.42
55.61,1.14,64.66,cold,-4.59,116.14,0.13,yes,eco,FWD,999.12,150.97,90.83,991.6,549.4
54.88,3.58,43.48,cold,-0.93,25.95,0.82,no,sport,RWD,633.02,276.77,182.65,772.07,542.79
43.79,13.75,55.0,mild,4.96,99.91,0.74,yes,eco,AWD,666.04,197.01,205.45,234.73,493.33
45.19,2.14,63.73,hot,3.34,52.3,0.34,no,eco,RWD,604.15,252.8,215.36,955.06,664.91
68.73,2.68,61.43,hot,0.36,59.6,0.09,no,sport,AWD,749.15,164.83,226.17,856.25,655.26
28.38,0.94,40.02,mild,-2.86,21.38,0.25,no,eco,FWD,649.2,271.13,54.42,679.98,499.91
91.58,10.7,55.64,mild,0.22,88.35,0.43,no,sport,RWD,1709.48,153.27,158.99,398.85,592.55
13.01,9.32,42.41,mild,-2.23,71.95,0.14,yes,sport,RWD,1264.79,154.39,139.28,849.76,422.34
88.78,7.24,55.53,cold,-0.89,34.6,0.72,no,eco,FWD,1897.74,192.92,132.09,727.86,589.78
14.16,0.25,55.33,mild,2.65,42.12,0.29,no,normal,FWD,1952.81,172.26,74.36,243.56,493.88
14.5,5.72,59.2,cold,3.66,46.4,0.3,yes,sport,AWD,1727.67,229.63,208.43,254.19,477.79
25.36,1.72,64.27,cold,1.76,97.18,0.67,yes,sport,FWD,812.7,194.32,96.31,222.01,462.75
10.95,13.04,56.54,mild,-4.83,35.03,0.92,no,sport,FWD,361.88,269.94,236.81,659.99,488.21
13.82,7.3,54.22,mild,-1.17,58.94,0.78,yes,normal,AWD,343.32,190.03,184.31,524.41,485.51
27.92,7.93,54.83,cold,-4.57,39.68,0.13,no,normal,RWD,273.25,258.09,64.81,210.26,513.43
39.43,0.6,40.55,hot,-3.77,22.33,0.32,yes,eco,RWD,1319.73,157.65,91.55,628.39,469.56
78.98,1.43,63.88,mild,-2.83,21.02,0.3,yes,eco,AWD,560.85,210.32,113.82,599.41,595.64
98.54,13.09,61.43,mild,-4.39,77.16,0.72,no,eco,RWD,491.73,210.67,73.59,115.89,593.09
15.15,0.97,59.29,hot,-1.71,116.18,0.93,no,sport,AWD,276.37,222.35,73.8,771.1,439.44
52.13,6.77,64.26,cold,-2.42,106.57,0.17,no,eco,FWD,963.62,244.87,182.79,292.13,583.97
23.01,12.74,51.97,hot,-2.49,88.47,0.2,no,normal,RWD,1749.97,166.12,86.0,670.22,451.13
35.93,6.88,45.05,cold,3.38,26.03,0.7,yes,eco,RWD,467.82,198.9,122.49,804.03,462.59
26.94,10.22,56.21,cold,0.45,99.82,0.82,no,sport,FWD,373.64,268.65,215.27,814.53,508.39
98.64,3.91,58.7,mild,3.83,22.38,0.93,no,normal,RWD,1891.21,205.27,193.8,524.7,641.07
14.71,11.41,41.61,mild,1.98,116.48,0.97,no,normal,RWD,1878.87,151.32,112.03,256.73,352.26
97.0,9.03,61.87,hot,-4.46,44.96,0.1,yes,normal,RWD,923.88,210.6,196.0,961.97,660.47
68.6,4.7,49.68,cold,3.71,53.13,0.6,no,sport,AWD,1973.44,294.83,192.84,793.78,553.18
41.87,9.41,51.64,cold,-2.09,68.03,0.26,no,eco,AWD,1467.16,219.56,183.5,829.61,580.62
11.69,12.0,48.82,hot,-0.09,46.77,0.32,no,normal,RWD,958.26,247.91,158.26,722.64,494.16
21.28,13.82,43.46,hot,2.42,34.41,0.38,yes,normal,RWD,1465.95,231.94,199.0,704.55,460.67
25.42,13.98,56.75,mild,-3.41,26.68,0.75,no,sport,RWD,712.28,184.14,174.31,339.08,480.99
17.53,6.62,44.47,hot,1.26,47.32,0.55,yes,eco,RWD,1783.55,281.73,204.0,442.1,487.9
72.69,13.12,57.75,mild,-4.75,79.64,0.98,yes,normal,FWD,1807.53,293.09,111.22,251.67,477.62
41.13,1.33,52.8,mild,-2.55,105.51,0.76,yes,sport,AWD,971.4,252.41,185.57,865.95,496.89
99.56,9.53,52.75,cold,-0.54,86.66,0.39,yes,sport,FWD,1512.45,168.42,229.1,499.57,597.01
17.09,8.78,58.57,mild,-4.68,20.88,0.53,no,normal,FWD,1591.16,240.18,61.19,794.82,425.67
62.84,13.06,40.52,cold,3.13,39.75,0.46,no,sport,AWD,1685.17,264.81,221.68,163.21,511.18
16.19,5.26,61.16,cold,-3.7,58.67,0.97,yes,sport,RWD,1316.95,263.0,231.72,972.83,502.32
99.97,7.18,48.14,cold,1.19,51.49,0.73,yes,normal,AWD,1408.84,252.64,121.56,112.34,545.16
60.21,6.61,41.07,cold,4.31,63.85,0.52,no,sport,AWD,1097.75,268.66,63.24,696.41,465.01
99.31,7.0,47.42,cold,2.18,23.5,0.97,no,normal,AWD,1819.0,154.72,108.44,858.63,548.4
36.12,4.0,64.31,cold,-2.39,77.99,0.61,yes,sport,FWD,1951.32,233.56,204.97,344.31,517.36
17.54,8.25,58.58,mild,2.48,103.83,0.22,no,sport,FWD,1756.75,209.9,184.02,800.65,478.68
87.77,8.6,54.66,mild,-0.98,112.61,0.94,yes,normal,RWD,1974.52,269.22,110.54,339.45,473.34
48.2,3.23,40.63,hot,0.1,45.78,0.36,yes,eco,AWD,772.51,211.34,215.73,898.85,598.74
21.68,8.42,46.34,mild,-3.61,30.84,0.39,yes,eco,RWD,1431.58,217.05,232.1,665.03,514.7
85.98,9.9,46.2,hot,-2.4,59.49,0.83,yes,eco,AWD,1050.4,196.88,234.82,473.72,587.6
91.02,9.33,43.16,cold,4.61,112.46,0.54,no,normal,FWD,1232.29,289.65,102.9,817.39,506.28
16.87,2.58,44.75,hot,-2.94,72.64,0.88,no,normal,AWD,383.59,258.97,231.26,465.56,539.77
83.73,13.23,48.42,mild,-3.01,52.01,0.4,yes,normal,RWD,339.15,280.98,115.21,501.91,559.66
80.87,1.21,62.73,hot,2.82,99.57,0.49,no,sport,RWD,1071.25,236.26,64.82,909.26,558.61
64.45,6.43,57.27,mild,1.73,44.06,0.37,yes,eco,FWD,527.66,244.86,146.87,163.1,587.08
73.38,14.94,52.91,mild,-2.67,44.42,0.16,no,sport,RWD,866.56,241.51,72.01,450.61,516.06
90.02,2.11,54.47,cold,-0.04,46.38,0.72,no,sport,FWD,1579.58,268.1,149.85,140.47,602.78
20.64,5.68,54.52,cold,-0.23,54.46,0.75,yes,eco,FWD,215.23,291.81,167.23,523.22,522.56
98.17,10.41,46.91,cold,-2.85,43.01,0.26,yes,normal,RWD,181.87,212.84,179.51,897.91,633.87
83.79,3.22,62.37,cold,2.83,39.35,0.46,no,eco,FWD,782.01,220.25,77.76,995.3,640.17
79.4,3.4,48.36,cold,-3.74,59.29,0.92,no,eco,RWD,1519.94,190.58,165.65,243.81,584.68
85.49,8.88,57.81,cold,0.01,116.89,0.49,no,sport,RWD,999.46,155.65,78.75,513.37,519.79
53.46,5.37,61.51,mild,-2.29,32.18,0.2,yes,eco,FWD,1811.71,288.32,164.1,560.04,587.43
45.31,3.13,57.73,mild,-4.05,41.56,0.78,no,sport,FWD,1719.72,190.61,143.15,632.59,517.31
94.02,7.62,61.74,cold,-3.19,22.45,0.43,no,sport,RWD,678.58,203.39,222.32,379.54,640.75
46.25,3.94,51.08,hot,-4.23,55.76,0.34,no,eco,FWD,595.52,198.0,71.62,790.25,539.99
78.98,7.35,60.8,hot,-4.61,45.42,0.72,no,normal,AWD,324.66,239.44,200.19,941.47,626.94
12.63,13.53,56.2,cold,-0.8,112.5,0.32,yes,eco,AWD,1553.48,241.52,158.75,472.33,427.69
85.41,2.78,58.09,hot,2.19,27.75,0.88,yes,sport,FWD,1698.32,273.61,229.79,613.9,588.6
43.11,0.57,55.7,hot,1.93,112.97,0.05,yes,eco,FWD,875.87,290.03,183.0,823.0,571.32
25.09,4.48,50.2,cold,1.06,46.05,0.91,yes,sport,RWD,1917.79,215.13,96.96,347.27,428.52
85.56,12.65,64.41,hot,3.46,101.76,0.86,no,eco,FWD,302.34,167.73,144.92,633.72,575.52
32.19,14.73,63.33,mild,-2.93,111.74,0.6,no,normal,RWD,194.22,229.24,243.77,428.4,515.1
83.5,10.16,60.24,hot,4.91,46.67,0.8,no,eco,FWD,1765.07,186.06,212.88,828.44,597.21
79.41,5.65,56.03,cold,3.22,81.18,0.45,yes,sport,AWD,746.05,198.14,145.14,756.82,577.13
18.71,14.19,47.26,mild,-1.64,102.93,0.37,no,normal,RWD,654.51,299.85,167.27,359.99,453.41
67.61,9.32,45.76,hot,1.28,111.44,0.57,yes,normal,RWD,1577.17,247.54,54.0,213.78,430.3
27.17,4.2,58.19,mild,-0.85,75.61,0.35,yes,normal,RWD,527.19,198.73,231.4,387.54,578.01
50.83,9.12,45.42,hot,2.31,85.98,0.43,no,normal,AWD,1080.36,191.37,241.89,538.35,576.2
16.89,9.18,58.05,cold,-0.45,37.57,0.69,no,sport,FWD,223.38,154.88,218.75,406.14,545.52
61.85,10.77,43.03,mild,1.63,75.44,0.17,no,eco,AWD,1385.95,221.33,132.32,129.32,563.96
23.57,13.95,60.7,cold,2.92,71.83,0.68,no,normal,FWD,1219.11,246.06,81.08,627.42,472.66
44.92,6.19,42.39,cold,1.98,117.83,0.31,no,eco,RWD,484.0,190.48,59.21,840.67,475.35
36.25,5.21,43.35,mild,-3.34,42.79,0.68,no,eco,AWD,277.68,254.05,155.47,220.28,556.02
80.55,6.53,54.55,cold,-3.69,23.74,0.37,yes,normal,AWD,1446.85,288.91,195.97,584.99,585.8
46.19,12.39,43.38,mild,0.59,60.01,0.99,yes,eco,RWD,1101.91,286.33,77.49,557.38,461.86
28.31,11.86,45.47,mild,-1.28,93.96,0.44,yes,normal,FWD,1982.73,255.92,232.44,205.16,491.22
43.3,8.9,63.88,cold,-2.81,68.9,0.43,no,normal,FWD,772.84,177.61,207.72,895.39,600.1
62.14,12.11,51.81,hot,0.61,73.6,0.32,yes,sport,RWD,1805.41,191.71,98.67,233.02,471.58
66.46,5.34,45.41,mild,0.43,96.14,0.11,no,normal,FWD,783.12,247.81,102.37,635.07,565.32
10.98,12.19,44.06,hot,-4.07,26.44,0.49,no,normal,AWD,791.14,265.23,87.23,736.53,385.42
52.54,5.34,55.16,hot,3.34,70.63,0.28,no,sport,FWD,1330.62,285.66,151.6,519.07,559.01
38.91,8.72,40.54,hot,-0.13,99.03,0.42,yes,eco,RWD,1191.73,165.2,137.52,933.23,474.73
65.1,9.73,45.34,cold,-4.15,45.59,0.31,yes,normal,AWD,1895.76,224.27,167.36,210.64,525.17
12.13,12.14,59.55,mild,-3.71,50.42,0.93,yes,sport,RWD,1316.12,185.62,86.54,622.75,390.11
